84.55, -187, 0
84.55, -35, 0
333.05, -35, 0
333.05, -187, 0
345.05, -187, 0
345.05, -35, 0
345.05, -35, 0
351.05, -187, 0
457.05, -187, 0
457.05, -35, 0
463.05, -35, 0
451.05, -35, 0
451.05, -187, 0
96.55, -35, 0
96.55, -35, 0
206.05, -35, 0
206.05, -187, 0
96.55, -187, 0
96.55, -35, 0
96.55, -35, 0
212.05, -187, 0
212.05, -35, 0
218.05, -35, 0
108.55, -35, 0
108.55, -187, 0
96.55, -35, 0
96.55, -35, 0
84.55, -35, 0
108.55, -35, 0
212.05, -35, 0
206.05, -35, 0
218.05, -35, 0
96.55, -187, 0
84.55, -187, 0
108.55, -187, 0
212.05, -187, 0
206.05, -187, 0
218.05, -187, 0
218.05, -187, 0
345.05, -35, 0
345.05, -35, 0
333.05, -35, 0
351.05, -35, 0
351.05, -35, 0
457.05, -35, 0
451.05, -35, 0
463.05, -35, 0
345.05, -187, 0
333.05, -187, 0
351.05, -187, 0
457.05, -187, 0
451.05, -187, 0
345.05, -35, 0
345.05, -35, 0
84.55, -187, 0
84.55, -35, 0
333.05, -35, 0
333.05, -187, 0
345.05, -187, 0
345.05, -35, 0
345.05, -35, 0
351.05, -187, 0
457.05, -187, 0
457.05, -35, 0
463.05, -35, 0
451.05, -35, 0
451.05, -187, 0
96.55, -35, 0
96.55, -35, 0
206.05, -35, 0
206.05, -187, 0
96.55, -187, 0
96.55, -35, 0
96.55, -35, 0
212.05, -187, 0
212.05, -35, 0
218.05, -35, 0
108.55, -35, 0
108.55, -187, 0
96.55, -35, 0
96.55, -35, 0
84.55, -35, 0
108.55, -35, 0
212.05, -35, 0
206.05, -35, 0
218.05, -35, 0
96.55, -187, 0
84.55, -187, 0
108.55, -187, 0
212.05, -187, 0
206.05, -187, 0
218.05, -187, 0
218.05, -187, 0
345.05, -35, 0
345.05, -35, 0
333.05, -35, 0
351.05, -35, 0
351.05, -35, 0
457.05, -35, 0
451.05, -35, 0
463.05, -35, 0
345.05, -187, 0
333.05, -187, 0
351.05, -187, 0
457.05, -187, 0
451.05, -187, 0
345.05, -35, 0
345.05, -35, 0
84.55, -187, 0
84.55, -35, 0
333.05, -35, 0
333.05, -187, 0
345.05, -187, 0
345.05, -35, 0
345.05, -35, 0
351.05, -187, 0
457.05, -187, 0
457.05, -35, 0
463.05, -35, 0
451.05, -35, 0
451.05, -187, 0
96.55, -35, 0
96.55, -35, 0
206.05, -35, 0
206.05, -187, 0
96.55, -187, 0
96.55, -35, 0
96.55, -35, 0
212.05, -187, 0
212.05, -35, 0
218.05, -35, 0
108.55, -35, 0
108.55, -187, 0
96.55, -35, 0
96.55, -35, 0
84.55, -35, 0
108.55, -35, 0
212.05, -35, 0
206.05, -35, 0
218.05, -35, 0
96.55, -187, 0
84.55, -187, 0
108.55, -187, 0
212.05, -187, 0
206.05, -187, 0
218.05, -187, 0
218.05, -187, 0
345.05, -35, 0
345.05, -35, 0
333.05, -35, 0
351.05, -35, 0
351.05, -35, 0
457.05, -35, 0
451.05, -35, 0
463.05, -35, 0
345.05, -187, 0
333.05, -187, 0
351.05, -187, 0
457.05, -187, 0
451.05, -187, 0
345.05, -35, 0
345.05, -35, 0
