2: 84.55, -187, 0 84.55, -35, 0
3: 84.55, -187, 0 38.8, -35, 0
4: 84.55, -187, 0 333.05, -35, 0
5: 84.55, -187, 0 287.3, -35, 0
6: 84.55, -187, 0 333.05, -187, 0
7: 84.55, -187, 0 287.3, -187, 0
8: 84.55, -187, 0 33.74, 28, 0
9: 84.55, -187, 0 -219.813, 28, 0
10: 84.55, -187, 0 345.05, -187, 0
11: 84.55, -187, 0 345.05, -35, 0
12: 84.55, -187, 0 351.05, -187, 0
13: 84.55, -187, 0 348.55, -187, 0
14: 84.55, -187, 0 457.05, -187, 0
15: 84.55, -187, 0 457.05, -35, 0
16: 84.55, -187, 0 463.05, -35, 0
17: 84.55, -187, 0 460.55, -35, 0
18: 84.55, -187, 0 463.05, -187, 0
19: 84.55, -187, 0 460.55, -187, 0
20: 84.55, -187, 0 451.05, -35, 0
21: 84.55, -187, 0 402.8, -35, 0
22: 84.55, -187, 0 451.05, -187, 0
23: 84.55, -187, 0 402.8, -187, 0
24: 84.55, -187, 0 96.55, -35, 0
25: 84.55, -187, 0 39.839, 26.331, 0
26: 84.55, -187, 0 206.05, -35, 0
27: 84.55, -187, 0 157.8, -35, 0
28: 84.55, -187, 0 206.05, -187, 0
29: 84.55, -187, 0 157.8, -187, 0
30: 84.55, -187, 0 96.55, -187, 0
31: 84.55, -187, 0 96.55, -35, 0
32: 84.55, -187, 0 212.05, -187, 0
33: 84.55, -187, 0 212.05, -35, 0
34: 84.55, -187, 0 218.05, -35, 0
35: 84.55, -187, 0 266.3, -35, 0
36: 84.55, -187, 0 108.55, -35, 0
37: 84.55, -187, 0 154.3, -35, 0
38: 84.55, -187, 0 108.55, -187, 0
39: 84.55, -187, 0 154.3, -187, 0
40: 84.55, -187, 0 96.55, -35, 0
41: 84.55, -187, 0 84.55, -35, 0
42: 84.55, -187, 0 100.05, -35, 0
43: 84.55, -187, 0 108.55, -35, 0
44: 84.55, -187, 0 212.05, -35, 0
45: 84.55, -187, 0 206.05, -35, 0
46: 84.55, -187, 0 215.55, -35, 0
47: 84.55, -187, 0 218.05, -35, 0
48: 84.55, -187, 0 96.55, -187, 0
49: 84.55, -187, 0 84.55, -187, 0
2: 38.8, -187, 0 84.55, -35, 0
3: 38.8, -187, 0 38.8, -35, 0
4: 38.8, -187, 0 333.05, -35, 0
5: 38.8, -187, 0 287.3, -35, 0
6: 38.8, -187, 0 333.05, -187, 0
7: 38.8, -187, 0 287.3, -187, 0
8: 38.8, -187, 0 33.74, 28, 0
9: 38.8, -187, 0 -219.813, 28, 0
10: 38.8, -187, 0 345.05, -187, 0
11: 38.8, -187, 0 345.05, -35, 0
12: 38.8, -187, 0 351.05, -187, 0
13: 38.8, -187, 0 348.55, -187, 0
14: 38.8, -187, 0 457.05, -187, 0
15: 38.8, -187, 0 457.05, -35, 0
16: 38.8, -187, 0 463.05, -35, 0
17: 38.8, -187, 0 460.55, -35, 0
18: 38.8, -187, 0 463.05, -187, 0
19: 38.8, -187, 0 460.55, -187, 0
20: 38.8, -187, 0 451.05, -35, 0
21: 38.8, -187, 0 402.8, -35, 0
22: 38.8, -187, 0 451.05, -187, 0
23: 38.8, -187, 0 402.8, -187, 0
24: 38.8, -187, 0 96.55, -35, 0
25: 38.8, -187, 0 39.839, 26.331, 0
26: 38.8, -187, 0 206.05, -35, 0
27: 38.8, -187, 0 157.8, -35, 0
28: 38.8, -187, 0 206.05, -187, 0
29: 38.8, -187, 0 157.8, -187, 0
30: 38.8, -187, 0 96.55, -187, 0
31: 38.8, -187, 0 96.55, -35, 0
32: 38.8, -187, 0 212.05, -187, 0
33: 38.8, -187, 0 212.05, -35, 0
34: 38.8, -187, 0 218.05, -35, 0
35: 38.8, -187, 0 266.3, -35, 0
36: 38.8, -187, 0 108.55, -35, 0
37: 38.8, -187, 0 154.3, -35, 0
38: 38.8, -187, 0 108.55, -187, 0
39: 38.8, -187, 0 154.3, -187, 0
40: 38.8, -187, 0 96.55, -35, 0
